Starting at 2016-03-28 02:18:24.858632...

	
Parameters:	
Table:claim_events_simple	
Limit Infrequent Events: 1	
Limit Infrequent Pairs: 1	
Prune KL-Divergence: 0.5	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.05	

Found:1 Checked:272 Candidates:10151  (AssociatedToParty RefRespPDVE)
Found:1 Checked:273 Candidates:10150  (AssociatedToParty RefRespPoliceFire)
Found:1 Checked:274 Candidates:10149  (AssociatedToParty RefRespRental)
Found:1 Checked:275 Candidates:10148  (AssociatedToParty RefRespSalvage)
Found:1 Checked:276 Candidates:10147  (AssociatedToParty RefSentAuthority)
Found:1 Checked:277 Candidates:10146  (AssociatedToParty RefSentBTCD)
Found:1 Checked:278 Candidates:10145  (AssociatedToParty RefSentCRD)
Found:1 Checked:279 Candidates:10144  (AssociatedToParty RefSentCSLT)
Found:1 Checked:280 Candidates:10143  (AssociatedToParty RefSentFS)
Found:1 Checked:281 Candidates:10142  (AssociatedToParty RefSentGeneral)
Found:1 Checked:282 Candidates:10141  (AssociatedToParty RefSentPD)
Found:1 Checked:283 Candidates:10140  (AssociatedToParty RefSentPDVE)
Found:1 Checked:284 Candidates:10139  (AssociatedToParty RefSentPoliceFire)
Found:1 Checked:285 Candidates:10138  (AssociatedToParty RefSentRental)
Found:1 Checked:286 Candidates:10137  (AssociatedToParty RefSentSalvage)
Found:1 Checked:287 Candidates:10136  (AssociatedToParty Rental)
Found:1 Checked:288 Candidates:10135  (AssociatedToParty ReturnFrBillAudit)
Found:1 Checked:289 Candidates:10134  (AssociatedToParty ReviewRemFromInbox)
Trimmed event_type with KL divergence: 0.119470037507
Found:1 Checked:290 Candidates:10133  (AssociatedToParty RouteToInbox)
Found:1 Checked:291 Candidates:10132  (AssociatedToParty RouteToUnAssiMail)
Found:1 Checked:292 Candidates:10131  (AssociatedToParty Salvage)
Found:1 Checked:293 Candidates:10130  (AssociatedToParty SendTransHigh)
Found:1 Checked:294 Candidates:10129  (AssociatedToParty SentToBillAudit)
Found:1 Checked:295 Candidates:10128  (AssociatedToParty SetupEbillParty)
Found:1 Checked:296 Candidates:10127  (AssociatedToParty SuspendedItem)
Found:1 Checked:297 Candidates:10126  (AssociatedToParty Suspense)
Did not trim event_type with KL divergence: 1.28352203969
Distribution for (AssociatedToParty 1,3 Suspense)
N_a: 33, N_ab: 6, Critical interval: ((1, 3)), P(success): 0.0721, p_value: 0.0288

Found:2 Checked:298 Candidates:10267  (AssociatedToParty TLWCompleteReprble)
Found:2 Checked:299 Candidates:10266  (AssociatedToParty TLWCompleteTtlLoss)
Found:2 Checked:300 Candidates:10265  (AssociatedToParty UnsuspendedItem)
Found:2 Checked:301 Candidates:10264  (AssociatedToParty updtPymtVoid)
Found:2 Checked:302 Candidates:10263  (AssociatedToParty Vehicle)
Found:2 Checked:303 Candidates:10262  (AssociatedToParty VehicleEdited)
Found:2 Checked:304 Candidates:10261  (AssociatedToParty VehSlvgLogCompltd)
Found:2 Checked:305 Candidates:10260  (AssociatedToParty XPayAuthApprv)
Found:2 Checked:306 Candidates:10259  (AssociatedToParty XPayAuthLimit)
Found:2 Checked:307 Candidates:10258  (AssReRouteOffice AssociatedToClaim)
Found:2 Checked:308 Candidates:10257  (AssReRouteOffice AssociatedToParty)
Found:2 Checked:309 Candidates:10256  (AssReRouteOffice AssReRouteOffice)
Found:2 Checked:310 Candidates:10255  (AssReRouteOffice AssRouteToOffice)
Found:2 Checked:311 Candidates:10254  (AssReRouteOffice AssToFileHandler)
Found:2 Checked:312 Candidates:10253  (AssReRouteOffice AudatexReceipt)
Found:2 Checked:313 Candidates:10252  (AssReRouteOffice ChangedfromParty)
Found:2 Checked:314 Candidates:10251  (AssReRouteOffice ChangedtoParty)
Found:2 Checked:315 Candidates:10250  (AssReRouteOffice ClaimActivityLog)
Found:2 Checked:316 Candidates:10249  (AssReRouteOffice ClaimClosed)
Found:2 Checked:317 Candidates:10248  (AssReRouteOffice ClaimEdited)
Found:2 Checked:318 Candidates:10247  (AssReRouteOffice ClaimReopened)
Found:2 Checked:319 Candidates:10246  (AssReRouteOffice ClaimReported)
Found:2 Checked:320 Candidates:10245  (AssReRouteOffice ClaimSentToLFS)
Found:2 Checked:321 Candidates:10244  (AssReRouteOffice ClaimSetup)
Found:2 Checked:322 Candidates:10243  (AssReRouteOffice ClaimSummary)
Found:2 Checked:323 Candidates:10242  (AssReRouteOffice Contact)
Found:2 Checked:324 Candidates:10241  (AssReRouteOffice COPSCarAsgSentCRP)
Found:2 Checked:325 Candidates:10240  (AssReRouteOffice Correspondencsent)
Found:2 Checked:326 Candidates:10239  (AssReRouteOffice DocAddInProgress)
Found:2 Checked:327 Candidates:10238  (AssReRouteOffice DocumentAdded)
Found:2 Checked:328 Candidates:10237  (AssReRouteOffice FYISent)
Found:2 Checked:329 Candidates:10236  (AssReRouteOffice Inbound)
Found:2 Checked:330 Candidates:10235  (AssReRouteOffice InitialContact)
Found:2 Checked:331 Candidates:10234  (AssReRouteOffice ItmReAssToFHndler)
Found:2 Checked:332 Candidates:10233  (AssReRouteOffice LiabilityAnalysis)
Found:2 Checked:333 Candidates:10232  (AssReRouteOffice makePaymentSubmit)
Found:2 Checked:334 Candidates:10231  (AssReRouteOffice Medical)
Found:2 Checked:335 Candidates:10230  (AssReRouteOffice Medicare)
Found:2 Checked:336 Candidates:10229  (AssReRouteOffice MedicareNotify)
Found:2 Checked:337 Candidates:10228  (AssReRouteOffice MovefromParty)
Found:2 Checked:338 Candidates:10227  (AssReRouteOffice MovetoParty)
Found:2 Checked:339 Candidates:10226  (AssReRouteOffice Outbound)
Found:2 Checked:340 Candidates:10225  (AssReRouteOffice PartyAdded)
Found:2 Checked:341 Candidates:10224  (AssReRouteOffice PartyEdited)
Found:2 Checked:342 Candidates:10223  (AssReRouteOffice PerilActivity)
