Starting at 2016-03-01 17:27:23.231555...

	
Parameters:	
Limit Infrequent Events: False	
Limit Infrequent Pairs: False	
Prune KL-Divergence: False	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.05	

Found:4 Checked:205 Candidates:2824  (AssToFileHandler AssociatedToClaim)
Found:4 Checked:206 Candidates:2823  (AssToFileHandler AssociatedToParty)
Found:4 Checked:207 Candidates:2822  (AssToFileHandler AssReRouteQueue)
Found:4 Checked:208 Candidates:2821  (AssToFileHandler AssRouteToOffice)
Found:4 Checked:209 Candidates:2820  (AssToFileHandler AssToFileHandler)
Found:4 Checked:210 Candidates:2819  (AssToFileHandler AudatexReceipt)
Found:4 Checked:211 Candidates:2818  (AssToFileHandler ClaimActivityLog)
Found:4 Checked:212 Candidates:2817  (AssToFileHandler ClaimClosed)
Found:4 Checked:213 Candidates:2816  (AssToFileHandler ClaimEdited)
Found:4 Checked:214 Candidates:2815  (AssToFileHandler ClaimReopened)
Found:4 Checked:215 Candidates:2814  (AssToFileHandler ClaimReported)
Found:4 Checked:216 Candidates:2813  (AssToFileHandler ClaimSetup)
Found:4 Checked:217 Candidates:2812  (AssToFileHandler Contact)
Found:4 Checked:218 Candidates:2811  (AssToFileHandler COPSCarAsgSentCRP)
Found:4 Checked:219 Candidates:2810  (AssToFileHandler COPSCarAsgSentPDR)
Found:4 Checked:220 Candidates:2809  (AssToFileHandler Correspondencsent)
Found:4 Checked:221 Candidates:2808  (AssToFileHandler DocAddInProgress)
Found:4 Checked:222 Candidates:2807  (AssToFileHandler DocumentAdded)
Found:4 Checked:223 Candidates:2806  (AssToFileHandler FYISent)
Found:4 Checked:224 Candidates:2805  (AssToFileHandler grpPymtSubmit)
Found:4 Checked:225 Candidates:2804  (AssToFileHandler Inbound)
Found:4 Checked:226 Candidates:2803  (AssToFileHandler InitialContact)
Found:4 Checked:227 Candidates:2802  (AssToFileHandler IsoMatchRpt)
Found:4 Checked:228 Candidates:2801  (AssToFileHandler IsoNoMatchRpt)
Found:4 Checked:229 Candidates:2800  (AssToFileHandler LiabilityAnalysis)
Found:4 Checked:230 Candidates:2799  (AssToFileHandler makePaymentSubmit)
Found:4 Checked:231 Candidates:2798  (AssToFileHandler MultDocAddBegin)
Found:4 Checked:232 Candidates:2797  (AssToFileHandler MultipleDocAdded)
Found:4 Checked:233 Candidates:2796  (AssToFileHandler Outbound)
Found:4 Checked:234 Candidates:2795  (AssToFileHandler PartyAdded)
Found:4 Checked:235 Candidates:2794  (AssToFileHandler PartyEdited)
Found:4 Checked:236 Candidates:2793  (AssToFileHandler PerilActivity)
Found:4 Checked:237 Candidates:2792  (AssToFileHandler ReasonforEscalation)
Found:4 Checked:238 Candidates:2791  (AssToFileHandler ReceiptItem)
Found:4 Checked:239 Candidates:2790  (AssToFileHandler recordManualPymt)
