Starting at 2016-03-01 22:10:02.223216...

	
Parameters:	
Table:claim_events_100op	
Limit Infrequent Events: 10	
Limit Infrequent Pairs: 10	
Prune KL-Divergence: False	
Window: 12	
Laplace Pseudocounts: 1	
P-value Threshold: 0.001	

Found:5 Checked:217 Candidates:2366  (AssToFileHandler recordManualPymt)
Found:5 Checked:218 Candidates:2365  (AssToFileHandler RefCompPDVE)
Found:5 Checked:219 Candidates:2364  (AssToFileHandler Referral)
Found:5 Checked:220 Candidates:2363  (AssToFileHandler RefRemFromInbox)
Found:5 Checked:221 Candidates:2362  (AssToFileHandler RefRespPDVE)
Found:5 Checked:222 Candidates:2361  (AssToFileHandler RefRespSalvage)
Found:5 Checked:223 Candidates:2360  (AssToFileHandler RefSentPDVE)
Found:5 Checked:224 Candidates:2359  (AssToFileHandler RefSentSalvage)
Found:5 Checked:225 Candidates:2358  (AssToFileHandler Rental)
Found:5 Checked:226 Candidates:2357  (AssToFileHandler ReviewRemFromInbox)
Distribution for (AssToFileHandler 1,2 ReviewRemFromInbox)
N_a: 27, N_ab: 15, Critical interval: ((1, 2)), P(success): 0.2503, p_value: 0.0007

Found:6 Checked:227 Candidates:2420  (AssToFileHandler RouteToInbox)
Found:6 Checked:228 Candidates:2419  (AssToFileHandler Salvage)
Found:6 Checked:229 Candidates:2418  (AssToFileHandler Subrogation)
Found:6 Checked:230 Candidates:2417  (AssToFileHandler SuspendedItem)
Distribution for (AssToFileHandler 1,2 SuspendedItem)
N_a: 61, N_ab: 32, Critical interval: ((1, 2)), P(success): 0.3009, p_value: 0.0002

Found:7 Checked:231 Candidates:2516  (AssToFileHandler Suspense)
Distribution for (AssToFileHandler 1,2 Suspense)
N_a: 29, N_ab: 16, Critical interval: ((1, 2)), P(success): 0.2637, p_value: 0.0009

Found:8 Checked:232 Candidates:2581  (AssToFileHandler UnsuspendedItem)
Found:8 Checked:233 Candidates:2580  (AssToFileHandler Vehicle)
Found:8 Checked:234 Candidates:2579  (AssToFileHandler VehicleEdited)
Found:8 Checked:235 Candidates:2578  (AudatexReceipt AssociatedToClaim)
Found:8 Checked:236 Candidates:2577  (AudatexReceipt AssociatedToParty)
Found:8 Checked:237 Candidates:2576  (AudatexReceipt AssReRouteQueue)
Found:8 Checked:238 Candidates:2575  (AudatexReceipt AssRouteToOffice)
Found:8 Checked:239 Candidates:2574  (AudatexReceipt AssToFileHandler)
Found:8 Checked:240 Candidates:2573  (AudatexReceipt AudatexReceipt)
Found:8 Checked:241 Candidates:2572  (AudatexReceipt ClaimActivityLog)
Found:8 Checked:242 Candidates:2571  (AudatexReceipt ClaimClosed)
Found:8 Checked:243 Candidates:2570  (AudatexReceipt ClaimEdited)
Found:8 Checked:244 Candidates:2569  (AudatexReceipt ClaimReported)
Found:8 Checked:245 Candidates:2568  (AudatexReceipt ClaimSetup)
Found:8 Checked:246 Candidates:2567  (AudatexReceipt ClaimSummary)
Found:8 Checked:247 Candidates:2566  (AudatexReceipt Contact)
Found:8 Checked:248 Candidates:2565  (AudatexReceipt COPSCarAsgSentCRP)
Found:8 Checked:249 Candidates:2564  (AudatexReceipt COPSCarAsgSentPDR)
Found:8 Checked:250 Candidates:2563  (AudatexReceipt Correspondencsent)
Found:8 Checked:251 Candidates:2562  (AudatexReceipt Coverage)
Found:8 Checked:252 Candidates:2561  (AudatexReceipt DocAddInProgress)
Found:8 Checked:253 Candidates:2560  (AudatexReceipt DocumentAdded)
Found:8 Checked:254 Candidates:2559  (AudatexReceipt DocumentFiled)
Found:8 Checked:255 Candidates:2558  (AudatexReceipt FYISent)
Found:8 Checked:256 Candidates:2557  (AudatexReceipt grpPymtSubmit)
Found:8 Checked:257 Candidates:2556  (AudatexReceipt Inbound)
Found:8 Checked:258 Candidates:2555  (AudatexReceipt InitialContact)
Found:8 Checked:259 Candidates:2554  (AudatexReceipt IsoMatchRpt)
Found:8 Checked:260 Candidates:2553  (AudatexReceipt IsoNoMatchRpt)
Found:8 Checked:261 Candidates:2552  (AudatexReceipt ItmReAssToFHndler)
Found:8 Checked:262 Candidates:2551  (AudatexReceipt LiabilityAnalysis)
Found:8 Checked:263 Candidates:2550  (AudatexReceipt makePaymentSubmit)
Found:8 Checked:264 Candidates:2549  (AudatexReceipt Outbound)
Found:8 Checked:265 Candidates:2548  (AudatexReceipt PartyAdded)
Found:8 Checked:266 Candidates:2547  (AudatexReceipt PartyEdited)
Found:8 Checked:267 Candidates:2546  (AudatexReceipt PerilActivity)
Found:8 Checked:268 Candidates:2545  (AudatexReceipt ReceiptItem)
Found:8 Checked:269 Candidates:2544  (AudatexReceipt recordManualPymt)
Found:8 Checked:270 Candidates:2543  (AudatexReceipt RefCompPDVE)
Found:8 Checked:271 Candidates:2542  (AudatexReceipt Referral)
Found:8 Checked:272 Candidates:2541  (AudatexReceipt RefRemFromInbox)
Found:8 Checked:273 Candidates:2540  (AudatexReceipt RefRespPDVE)
Found:8 Checked:274 Candidates:2539  (AudatexReceipt RefRespSalvage)
Found:8 Checked:275 Candidates:2538  (AudatexReceipt RefSentPDVE)
Found:8 Checked:276 Candidates:2537  (AudatexReceipt RefSentSalvage)
Found:8 Checked:277 Candidates:2536  (AudatexReceipt Rental)
Found:8 Checked:278 Candidates:2535  (AudatexReceipt ReviewRemFromInbox)
Found:8 Checked:279 Candidates:2534  (AudatexReceipt RouteToInbox)
Found:8 Checked:280 Candidates:2533  (AudatexReceipt Subrogation)
Found:8 Checked:281 Candidates:2532  (AudatexReceipt SuspendedItem)
